State,Energy_Source,Usage
Vermont,Biomass,14207
Vermont,Geothermal,29
Vermont,Hydropower,5252
Vermont,Solar Energy,1562
Vermont,Wind Energy,1159
Washington,Biomass,126267
Washington,Geothermal,1136
Washington,Hydropower,209653
Washington,Solar Energy,3140
Washington,Wind Energy,25759
Wisconsin,Biomass,132268
Wisconsin,Geothermal,615
Wisconsin,Hydropower,6571
Wisconsin,Solar Energy,5581
Wisconsin,Wind Energy,5930
West Virginia,Biomass,15773
West Virginia,Geothermal,32
West Virginia,Hydropower,5221
West Virginia,Solar Energy,214
West Virginia,Wind Energy,7129
Wyoming,Biomass,4521
Wyoming,Geothermal,663
Wyoming,Hydropower,3130
Wyoming,Solar Energy,692
Wyoming,Wind Energy,29468
US,Biomass,4914764
US,Geothermal,119346
US,Hydropower,835948
US,Solar Energy,880325
US,Wind Energy,1436934
