State,Energy_Source,Usage
Utah,Hydropower,2031
Utah,Solar Energy,15854
Utah,Wind Energy,2468
Virginia,Biomass,162230
Virginia,Geothermal,1701
Virginia,Hydropower,3880
Virginia,Solar Energy,17653
Virginia,Wind Energy,174
Vermont,Biomass,15188
Vermont,Geothermal,29
Vermont,Hydropower,3892
Vermont,Solar Energy,1504
Vermont,Wind Energy,1396
Washington,Biomass,118813
Washington,Geothermal,1136
Washington,Hydropower,269263
Washington,Solar Energy,1754
Washington,Wind Energy,27504
Wisconsin,Biomass,133538
Wisconsin,Geothermal,615
Wisconsin,Hydropower,6793
Wisconsin,Solar Energy,3749
Wisconsin,Wind Energy,6195
West Virginia,Biomass,15724
West Virginia,Geothermal,32
West Virginia,Hydropower,5620
West Virginia,Solar Energy,166
West Virginia,Wind Energy,6848
Wyoming,Biomass,4790
Wyoming,Geothermal,663
Wyoming,Hydropower,2541
Wyoming,Solar Energy,715
Wyoming,Wind Energy,33370
US,Biomass,4873241
US,Geothermal,118389
US,Hydropower,869339
US,Solar Energy,764563
US,Wind Energy,1481823
