State,Biomass,Geothermal,Hydropower,Solar Energy,Wind Energy
Alaska,3153,186,5763,45,451
Alabama,198543,141,39309,1823,0
Arkansas,72939,808,13746,2221,0
Arizona,35287,345,20379,37795,5460
California,462829,40106,50080,205221,51784
Colorado,36334,759,5453,9801,51609
Connecticut,42781,21,1629,4831,44
District of Columbia,1897,22,0,568,0
Delaware,5995,430,0,709,17
Florida,221885,10056,858,64491,0
Georgia,258089,315,12491,18218,0
Hawaii,8816,635,392,8046,2245
Iowa,256935,1281,3344,1647,126579
Idaho,33826,1819,27280,2358,9145
Illinois,150154,2042,439,6190,65282
Indiana,121697,4647,1321,2852,26808
Kansas,46363,974,102,444,87667
Kentucky,51928,2712,16638,465,0
Louisiana,128794,1842,3785,1484,0
Massachusetts,55621,859,3813,14366,712
Maryland,37402,570,7224,5772,1765
Maine,76566,72,8670,1153,8681
Michigan,155433,5193,4571,2616,26262
Minnesota,163547,1075,2317,7304,41870
Missouri,58533,352,5792,1906,22295
Mississippi,63655,958,0,1520,0
Montana,12290,337,31590,269,11849
North Carolina,138045,967,19833,36370,1756
North Dakota,33921,978,6787,9,50959
Nebraska,120181,1212,3832,322,32728
New Hampshire,32487,29,3497,745,1720
New Jersey,53825,466,62,15619,67
New Mexico,17390,542,419,7757,36101
Nevada,13735,14914,6634,27204,1160
New York,135921,1185,98148,14542,14182
Ohio,129100,3435,1973,3524,8826
Oklahoma,56130,24,9438,466,111028
Oregon,89886,1856,94374,7437,31990
Pennsylvania,151173,2162,10696,3768,11789
Rhode Island,8808,57,15,2331,587
South Carolina,125195,648,8679,9273,0
South Dakota,76673,1868,17000,19,31822
Tennessee,96952,213,37093,1487,96
Texas,249311,2478,3693,59311,339406
Utah,15136,2240,1684,14174,2816
Virginia,155498,1701,4455,12792,169
Vermont,15197,29,3729,1322,1154
Washington,116292,1136,243546,1354,31724
Wisconsin,130446,615,7318,2119,5437
West Virginia,14909,32,5816,129,5542
Wyoming,4876,663,2697,674,28824
US,4752482,118007,858407,626863,1290407
